Retailer,Address,CITY,ZIP,County,Game,Year,Month,Sales
AYERCO 21,442 S JOHNSON ST,KAHOKA,63445,CLARK,TRIPLE PLAY,2016,1,28
AYERCO 23,4121 MARKET ST,HANNIBAL,63401,RALLS,TRIPLE PLAY,2016,1,30
AYERCO 22,1208 MARK TWAIN AVE,HANNIBAL,63401,MARION,TRIPLE PLAY,2016,1,54
AYERCO 24,304 US HWY 61  S,HANNIBAL,63401,MARION,TRIPLE PLAY,2016,1,12
AYERCO 25,8800 HWY 24,TAYLOR,63471,MARION,TRIPLE PLAY,2016,1,112
AYERCO 25,8800 HWY 24,TAYLOR,63471,MARION,TRIPLE PLAY,2016,2,0
AYERCO 28,400 N 4TH ST,CANTON,63435,LEWIS,TRIPLE PLAY,2016,1,14
AYERCO 30,1704 S BALTIMORE,KIRKSVILLE,63501,ADAIR,TRIPLE PLAY,2016,1,16
AYERCO 36,301 N CENTER,SHELBINA,63468,SHELBY,TRIPLE PLAY,2016,1,6
AYERCO 26,36430 US HWY 61,ALEXANDRIA,63430,CLARK,TRIPLE PLAY,2016,1,108
AYERCO 65,222 MANSION ST,LOUISIANA,63353,PIKE,TRIPLE PLAY,2016,1,98
BOURBON FAMILY CENTER,W 140 PINE ST,BOURBON,65441,CRAWFORD,TRIPLE PLAY,2016,1,96
BOURBON FAMILY CENTER,W 140 PINE ST,BOURBON,65441,CRAWFORD,TRIPLE PLAY,2016,2,0
CENTRAL MARKET,45 N CLARK ST,SULLIVAN,63080,FRANKLIN,TRIPLE PLAY,2016,1,84
CENTRAL MARKET,45 N CLARK ST,SULLIVAN,63080,FRANKLIN,TRIPLE PLAY,2016,2,0
DO DROP IN CONVENIENCE,1358 S BISHOP AVE,ROLLA,65401,PHELPS,TRIPLE PLAY,2016,1,16
DUER OIL CO,115 N JOHNSON ST,KAHOKA,63445,CLARK,TRIPLE PLAY,2016,1,64
FRICK'S MARKET,401 CENTRAL AVE,UNION,63084,FRANKLIN,TRIPLE PLAY,2016,1,34
FRICK'S MARKET,401 CENTRAL AVE,UNION,63084,FRANKLIN,TRIPLE PLAY,2016,4,0
HEARTLAND DISC PHARMACY,707 HWY 50 W,UNION,63084,FRANKLIN,TRIPLE PLAY,2016,1,6
HICKMAN'S IGA,104 MARYBELL ST,PERRY,63462,RALLS,TRIPLE PLAY,2016,1,4
MIDWAY AUTO/TRUCK PLAZA,6401 W US HWY 40,COLUMBIA,65202,BOONE,TRIPLE PLAY,2016,1,16
MR G'S LIQUOR,306 W BUCHANAN ST,CALIFORNIA,65018,MONITEAU,TRIPLE PLAY,2016,1,84
MR G'S LIQUOR,306 W BUCHANAN ST,CALIFORNIA,65018,MONITEAU,TRIPLE PLAY,2016,2,0
STEVE'S GAS & LIQUOR,205 HWY 21,PILOT KNOB,63663,IRON,TRIPLE PLAY,2016,1,192
STEVE'S GAS & LIQUOR,205 HWY 21,PILOT KNOB,63663,IRON,TRIPLE PLAY,2016,2,0
SCHULTE'S FRESH FOODS,1904 SOUTHWEST BLVD,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,1,126
SCHULTE'S FRESH FOODS,1904 SOUTHWEST BLVD,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,2,0
SHOW ME OIL,804 S MAIN ST,AUXVASSE,65231,CALLAWAY,TRIPLE PLAY,2016,1,2
SIGNAL FOOD STORE #105,610 S ASH ST,BUFFALO,65622,DALLAS,TRIPLE PLAY,2016,1,62
U-GAS INTERSTATE 206,W 3628 OSAGE ST,PACIFIC,63069,FRANKLIN,TRIPLE PLAY,2016,1,32
U-GAS SUMMIT STOP 207,2673 HWY 100,GRAY SUMMIT,63039,FRANKLIN,TRIPLE PLAY,2016,1,122
HAYE'S GROCERY,4194 STATE RD 101,BAKERSFIELD,65609,OZARK,TRIPLE PLAY,2016,1,2
PELSUE,116 CHESTNUT ST,WENTWORTH,64873,NEWTON,TRIPLE PLAY,2016,1,16
RAY-NOBLE LIQUOR STORE 1,101 HOLMES RD,THAYER,65791,OREGON,TRIPLE PLAY,2016,1,140
SUPER STOP,1817 WASHINGTON,SENECA,64865,NEWTON,TRIPLE PLAY,2016,1,10
SIGNAL FOOD STORE #102,1012 SPRINGFIELD RD,AVA,65608,DOUGLAS,TRIPLE PLAY,2016,1,62
SIGNAL FOOD STORE #103,W 881 COMMERCIAL ST,MANSFIELD,65704,WRIGHT,TRIPLE PLAY,2016,1,88
SIGNAL FOOD STORE #103,W 881 COMMERCIAL ST,MANSFIELD,65704,WRIGHT,TRIPLE PLAY,2016,2,0
SIGNAL FOOD STORE #104,402 W MT VERNON ST,NIXA,65714,CHRISTIAN,TRIPLE PLAY,2016,1,74
CITY PHARMACY,229 N MAIN ST,SLATER,65349,SALINE,TRIPLE PLAY,2016,1,4
MACALUSO'S LIQ/DELI/GROC,203 E 69 HWY,KANSAS CITY,64119,CLAY,TRIPLE PLAY,2016,1,44
DON'S MKT & LIQUOR,3000 SOUTHWEST BLVD,KANSAS CITY,64108,JACKSON,TRIPLE PLAY,2016,1,16
IMPERIAL SUPER GAS,811 S 6TH ST,ST JOSEPH,64501,BUCHANAN,TRIPLE PLAY,2016,1,72
MARSH'S SUN FRESH,4001 MILL ST,KANSAS CITY,64111,JACKSON,TRIPLE PLAY,2016,1,334
LIQUOR LOCKER,513 W MAIN,SEDALIA,65301,PETTIS,TRIPLE PLAY,2016,1,2
COUNTRY MART,1013 W FT SCOTT ST,BUTLER,64730,BATES,TRIPLE PLAY,2016,1,28
RAYS GREEN HILLS 2,3225 N BELT,ST JOSEPH,64506,BUCHANAN,TRIPLE PLAY,2016,1,18
ROGER'S GREEN HILLS SPR,1004 5TH AVE,ST JOSEPH,64505,BUCHANAN,TRIPLE PLAY,2016,1,92
ROGER'S GREEN HILLS SPR,1004 5TH AVE,ST JOSEPH,64505,BUCHANAN,TRIPLE PLAY,2016,2,0
WIEDMAIER TRUCK STOP,4215 S 169 HWY,ST JOSEPH,64503,BUCHANAN,TRIPLE PLAY,2016,1,10
YOSS THRIFTWAY,601 N OLD HIGHWAY 71,ADRIAN,64720,BATES,TRIPLE PLAY,2016,1,10
AL'S CAFE,2500 DEKALB ST,ST LOUIS,63104,ST. LOUIS CITY,TRIPLE PLAY,2016,1,10
BJ'S BAR & RESTAURANT,184 WASHINGTON ST,FLORISSANT,63031,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,88
BJ'S BAR & RESTAURANT,184 WASHINGTON ST,FLORISSANT,63031,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
EXPRESS MART-CEDAR HILL,8200 INDUSTRIAL DR,CEDAR HILL,63016,JEFFERSON,TRIPLE PLAY,2016,1,44
THOELE CONV STORE #300,300 HOUSTON ST,ST CHARLES,63301,ST. CHARLES,TRIPLE PLAY,2016,1,82
EXPRESS MART-FESTUS,999 W GANNON DR,FESTUS,63028,JEFFERSON,TRIPLE PLAY,2016,1,94
EXPRESS MART-FESTUS,999 W GANNON DR,FESTUS,63028,JEFFERSON,TRIPLE PLAY,2016,2,0
FISH'S QUICK STOP,12973 HWY 21,DESOTO,63020,JEFFERSON,TRIPLE PLAY,2016,1,144
GLOBE CUT RATE DRUGS,1900 S BROADWAY,ST LOUIS,63104,ST. LOUIS CITY,TRIPLE PLAY,2016,1,28
GRAND CURRENCY EXCHANGE,4318 N GRAND BLVD,ST LOUIS,63107,ST. LOUIS CITY,TRIPLE PLAY,2016,1,4
J & W PKG LIQUOR,3001 N FLORISSANT,ST LOUIS,63107,ST. LOUIS CITY,TRIPLE PLAY,2016,1,52
JD'S QUICK STOP,1529 N MAIN ST,POPLAR BLUFF,63901,BUTLER,TRIPLE PLAY,2016,1,26
JD'S QUICK STOP,1529 N MAIN ST,POPLAR BLUFF,63901,BUTLER,TRIPLE PLAY,2016,2,0
THOELE CONV STORE #800,4425 N HWY 79,OFALLON,63366,ST. CHARLES,TRIPLE PLAY,2016,1,24
THOELE CONV STORE #200,3000 HWY 94 NORTH,ST CHARLES,63301,ST. CHARLES,TRIPLE PLAY,2016,1,40
THOELE CONV STORE #200,3000 HWY 94 NORTH,ST CHARLES,63301,ST. CHARLES,TRIPLE PLAY,2016,2,0
THOELE CONV STORE #600,8695 VETERANS MEM PARKWY,OFALLON,63366,ST. CHARLES,TRIPLE PLAY,2016,1,80
THOELE CONV STORE #600,8695 VETERANS MEM PARKWY,OFALLON,63366,ST. CHARLES,TRIPLE PLAY,2016,2,0
OLIVE STREET CURRENCY EX,1811 OLIVE ST,ST LOUIS,63103,ST. LOUIS CITY,TRIPLE PLAY,2016,1,58
OLIVE STREET CURRENCY EX,1811 OLIVE ST,ST LOUIS,63103,ST. LOUIS CITY,TRIPLE PLAY,2016,2,0
STELMACKI SUPER MKT,9965 LEWIS & CLARK BLVD,MOLINE ACRES,63136,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,76
STELMACKI SUPER MKT,9965 LEWIS & CLARK BLVD,MOLINE ACRES,63136,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
TOWN & COUNTRY 2458,104 W HWY 162,CLARKTON,63837,DUNKLIN,TRIPLE PLAY,2016,1,4
TOWN & COUNTRY 2481,881 WALNUT ST,BERNIE,63822,STODDARD,TRIPLE PLAY,2016,1,6
TOWN & COUNTRY 2444,33330 STATE HWY 25,ADVANCE,63730,STODDARD,TRIPLE PLAY,2016,1,38
COUNTRY MART 2457,401 E MAIN,MARBLE HILL,63764,BOLLINGER,TRIPLE PLAY,2016,1,38
TOWN & COUNTRY 2480,108 N HWY 25,BLOOMFIELD,63825,STODDARD,TRIPLE PLAY,2016,1,18
COUNTRY MART 2436,210 E MURTA,FREDERICKTOWN,63645,MADISON,TRIPLE PLAY,2016,1,8
COUNTRY MART 2436,210 E MURTA,FREDERICKTOWN,63645,MADISON,TRIPLE PLAY,2016,2,0
COUNTRY MART 2479,125 W KARSCH,FARMINGTON,63640,ST. FRANCOIS,TRIPLE PLAY,2016,1,62
COUNTRY MART 2479,125 W KARSCH,FARMINGTON,63640,ST. FRANCOIS,TRIPLE PLAY,2016,2,0
TOWN & COUNTRY 2448,616 N MAIN,IRONTON,63650,IRON,TRIPLE PLAY,2016,1,60
TOWN & COUNTRY 2448,616 N MAIN,IRONTON,63650,IRON,TRIPLE PLAY,2016,2,0
TOWN & COUNTRY 2427,707 SPECIALTY DR,DEXTER,63841,STODDARD,TRIPLE PLAY,2016,1,20
TOWN & COUNTRY 2427,707 SPECIALTY DR,DEXTER,63841,STODDARD,TRIPLE PLAY,2016,3,0
COUNTRY MART 2459,1 CHARLESTON PLZ,CHARLESTON,63834,MISSISSIPPI,TRIPLE PLAY,2016,1,8
U-GAS CEDAR HILL 210,7005 HWY NN AT HWY 30,CEDAR HILL,63016,JEFFERSON,TRIPLE PLAY,2016,1,218
U-GAS CEDAR HILL 210,7005 HWY NN AT HWY 30,CEDAR HILL,63016,JEFFERSON,TRIPLE PLAY,2016,2,0
VETERANS CURRENCY EXCHAN,900 N GRAND BLVD,ST LOUIS,63106,ST. LOUIS CITY,TRIPLE PLAY,2016,1,46
HOUSE OF BARGAINS,5505 BUS 50 W,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,1,2
PRENGER'S FOODS,205 N CHESTNUT ST,MARCELINE,64658,LINN,TRIPLE PLAY,2016,1,24
MOSER'S FOODS,2020 N BLUFF ST,FULTON,65251,CALLAWAY,TRIPLE PLAY,2016,1,62
MOSER'S FOODS,2020 N BLUFF ST,FULTON,65251,CALLAWAY,TRIPLE PLAY,2016,2,0
WOODS SUPERMARKET 461,509 S ASH ST,BUFFALO,65622,DALLAS,TRIPLE PLAY,2016,1,139
WOODS SUPERMARKET 461,509 S ASH ST,BUFFALO,65622,DALLAS,TRIPLE PLAY,2016,2,0
WOODS SUPERMARKET 471,703 E COLLEGE ST,BOLIVAR,65613,POLK,TRIPLE PLAY,2016,1,76
HARTER HOUSE,1500 E REPUBLIC RD,SPRINGFIELD,65804,GREENE,TRIPLE PLAY,2016,1,2
JUDY'S CONVENIENCE LIQ,403 N 4TH ST,JASPER,64755,JASPER,TRIPLE PLAY,2016,1,4
SIGNAL FOOD STORE #101,960 S GLENSTONE AVE,SPRINGFIELD,65802,GREENE,TRIPLE PLAY,2016,1,70
PRICE CHOPPER 104,1101 SW STATE ROUTE 7,BLUE SPRINGS,64014,JACKSON,TRIPLE PLAY,2016,1,48
PRICE CHOPPER 104,1101 SW STATE ROUTE 7,BLUE SPRINGS,64014,JACKSON,TRIPLE PLAY,2016,2,0
LITTLE GENERAL STORE,1017 N WOODS CHAPEL RD,BLUE SPRINGS,64015,JACKSON,TRIPLE PLAY,2016,1,58
LEON'S THRIFTWAY,4400 E 39TH ST,KANSAS CITY,64128,JACKSON,TRIPLE PLAY,2016,1,30
LEON'S THRIFTWAY,4400 E 39TH ST,KANSAS CITY,64128,JACKSON,TRIPLE PLAY,2016,2,0
PRICE CHOPPER 105,5800 WILSON RD,KANSAS CITY,64123,JACKSON,TRIPLE PLAY,2016,1,76
PRICE CHOPPER 105,5800 WILSON RD,KANSAS CITY,64123,JACKSON,TRIPLE PLAY,2016,2,0
LITTLE GENERAL STORE,19300 E US HIGHWAY 24,INDEPENDENCE,64056,JACKSON,TRIPLE PLAY,2016,1,30
WOODS SUPERMARKET 474,312 W US HIGHWAY 54,ELDORADO SPRINGS,64744,CEDAR,TRIPLE PLAY,2016,1,18
WOODS SUPERMARKET 473,1109 SOUTH ST,STOCKTON,65785,CEDAR,TRIPLE PLAY,2016,1,76
WOODS SUPERMARKET 473,1109 SOUTH ST,STOCKTON,65785,CEDAR,TRIPLE PLAY,2016,2,0
DIERBERGS-TELEGRAPH,5640 TELEGRAPH RD,ST LOUIS,63129,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,108
DIERBERGS-TELEGRAPH,5640 TELEGRAPH RD,ST LOUIS,63129,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
DIERBERGS-4 SEASONS,8 FOUR SEASONS CTR,CHESTERFIELD,63017,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,90
DIERBERGS-4 SEASONS,8 FOUR SEASONS CTR,CHESTERFIELD,63017,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
DIERBERGS-MANCHESTER,421 LAFAYETTE CTR,MANCHESTER,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,244
DIERBERGS-MANCHESTER,421 LAFAYETTE CTR,MANCHESTER,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
DIERBERGS-W OAK,11481 OLIVE ST RD,CREVE COEUR,63141,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,150
DIERBERGS-W OAK,11481 OLIVE ST RD,CREVE COEUR,63141,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
DIERBERGS-CLARKSON,1322 CLARKSON/CLAYTON CT,ELLISVILLE,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,126
DIERBERGS-CLARKSON,1322 CLARKSON/CLAYTON CT,ELLISVILLE,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
DIERBERGS-CLARKSON,1322 CLARKSON/CLAYTON CT,ELLISVILLE,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,3,0
DIERBERGS-LEMAY,2516 LEMAY FERRY RD,ST LOUIS,63125,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,250
DIERBERGS-LEMAY,2516 LEMAY FERRY RD,ST LOUIS,63125,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
DIERBERGS-LEMAY,2516 LEMAY FERRY RD,ST LOUIS,63125,ST. LOUIS COUNTY,TRIPLE PLAY,2016,5,0
DIERBERGS-BOGEY HILLS,2021 ZUMBEHL RD,ST CHARLES,63303,ST. CHARLES,TRIPLE PLAY,2016,1,176
DIERBERGS-BOGEY HILLS,2021 ZUMBEHL RD,ST CHARLES,63303,ST. CHARLES,TRIPLE PLAY,2016,2,0
DIERBERGS-FLORISSANT,222 N HWY 67,FLORISSANT,63031,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,342
DIERBERGS-FLORISSANT,222 N HWY 67,FLORISSANT,63031,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
DIERBERGS-SOUTHROADS,12420 TESSON FERRY RD,ST LOUIS,63128,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,176
DIERBERGS-SOUTHROADS,12420 TESSON FERRY RD,ST LOUIS,63128,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
DIERBERGS-SOUTHROADS,12420 TESSON FERRY RD,ST LOUIS,63128,ST. LOUIS COUNTY,TRIPLE PLAY,2016,3,0
THOELE CONV STORE #250,403 MID RIVERS MALL DR,ST PETERS,63376,ST. CHARLES,TRIPLE PLAY,2016,1,182
THOELE CONV STORE #250,403 MID RIVERS MALL DR,ST PETERS,63376,ST. CHARLES,TRIPLE PLAY,2016,2,0
RIVIERA,3025 HWY 94 N,ST CHARLES,63301,ST. CHARLES,TRIPLE PLAY,2016,1,10
ABEL'S QUIK SHOP 1,720 N 3RD ST,LOUISIANA,63353,PIKE,TRIPLE PLAY,2016,1,60
ABEL'S QUIK SHOP 2,100 N MAIN ST,PALMYRA,63461,MARION,TRIPLE PLAY,2016,1,34
ABEL'S QUIK SHOP 3,804 MARK TWAIN AVE,HANNIBAL,63401,MARION,TRIPLE PLAY,2016,1,42
ABEL'S QUIK SHOP 3,804 MARK TWAIN AVE,HANNIBAL,63401,MARION,TRIPLE PLAY,2016,2,0
ABEL'S QUIK SHOP 3,804 MARK TWAIN AVE,HANNIBAL,63401,MARION,TRIPLE PLAY,2016,3,0
ABEL'S QUIK SHOP 4,606 N BUS HWY 61,BOWLING GREEN,63334,PIKE,TRIPLE PLAY,2016,1,40
ABEL'S QUIK SHOP 6,2859 JAMES RD,HANNIBAL,63401,MARION,TRIPLE PLAY,2016,1,28
ABEL'S QUIK SHOP 9,602 S 3RD ST,LOUISIANA,63353,PIKE,TRIPLE PLAY,2016,1,12
ABEL'S QUIK SHOP 10,200 N MAIN ST,ELSBERRY,63343,LINCOLN,TRIPLE PLAY,2016,1,40
ABEL'S QUIK SHOP 12,719 S MAIN ST,PARIS,65275,MONROE,TRIPLE PLAY,2016,1,16
ABEL'S QUIK SHOP 12,719 S MAIN ST,PARIS,65275,MONROE,TRIPLE PLAY,2016,2,0
ABEL'S QUIK SHOP 13,708 W US HWY 54,VANDALIA,63382,AUDRAIN,TRIPLE PLAY,2016,1,166
ABEL'S QUIK SHOP 13,708 W US HWY 54,VANDALIA,63382,AUDRAIN,TRIPLE PLAY,2016,2,0
CONVENIENT FD MRT 14-002,3714 W TRUMAN BLVD,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,1,28
G 2 M SUPER MART,507 W 4TH ST,STOVER,65078,MORGAN,TRIPLE PLAY,2016,1,2
G2M SUPERMART,220 N MAIN ST,GRAVOIS MILLS,65037,MORGAN,TRIPLE PLAY,2016,1,134
G2M SUPERMART,220 N MAIN ST,GRAVOIS MILLS,65037,MORGAN,TRIPLE PLAY,2016,2,0
HY-VEE 1303,3721 W TRUMAN BLVD,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,1,106
HY-VEE 1303,3721 W TRUMAN BLVD,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,2,0
HY-VEE 1303,3721 W TRUMAN BLVD,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,3,0
HY-VEE 1303,3721 W TRUMAN BLVD,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,4,0
HY-VEE 1335,500 N BALTIMORE ST,KIRKSVILLE,63501,ADAIR,TRIPLE PLAY,2016,1,28
HY-VEE 1335,500 N BALTIMORE ST,KIRKSVILLE,63501,ADAIR,TRIPLE PLAY,2016,3,0
ON THE RUN 60,214 W PINE ST,BOURBON,65441,CRAWFORD,TRIPLE PLAY,2016,1,22
ON THE RUN 40,102 TRUMAN,CUBA,65453,CRAWFORD,TRIPLE PLAY,2016,1,20
ON THE RUN 40,102 TRUMAN,CUBA,65453,CRAWFORD,TRIPLE PLAY,2016,2,0
ON THE RUN 140,101 HWY B,ST JAMES,65559,PHELPS,TRIPLE PLAY,2016,1,52
ON THE RUN 140,101 HWY B,ST JAMES,65559,PHELPS,TRIPLE PLAY,2016,2,0
ON THE RUN 140,101 HWY B,ST JAMES,65559,PHELPS,TRIPLE PLAY,2016,3,0
ON THE RUN 120,1710 N BISHOP,ROLLA,65401,PHELPS,TRIPLE PLAY,2016,1,4
ON THE RUN 120,1710 N BISHOP,ROLLA,65401,PHELPS,TRIPLE PLAY,2016,2,0
ON THE RUN 100,510 W MAIN,STEELVILLE,65565,CRAWFORD,TRIPLE PLAY,2016,1,14
WAYSIDE,3302 HWY 100,VILLA RIDGE,63089,FRANKLIN,TRIPLE PLAY,2016,1,74
WAYSIDE,3302 HWY 100,VILLA RIDGE,63089,FRANKLIN,TRIPLE PLAY,2016,2,0
ELKS 409,2223 E BENNETT ST,SPRINGFIELD,65804,GREENE,TRIPLE PLAY,2016,1,26
KWIK MART,738 E MCKINNEY ST,NEOSHO,64850,NEWTON,TRIPLE PLAY,2016,1,36
KWIK MART,738 E MCKINNEY ST,NEOSHO,64850,NEWTON,TRIPLE PLAY,2016,2,0
PITTMAN GENL MERCHANDISE,10808 HWY 17,SUCCESS,65570,TEXAS,TRIPLE PLAY,2016,1,22
WESTSIDE PKG STORE,8569 LORETTA LANE,WINONA,65588,SHANNON,TRIPLE PLAY,2016,1,32
WESTSIDE PKG STORE,8569 LORETTA LANE,WINONA,65588,SHANNON,TRIPLE PLAY,2016,2,0
WESTSIDE PKG STORE,8569 LORETTA LANE,WINONA,65588,SHANNON,TRIPLE PLAY,2016,5,0
BERBIGLIA 63,1114 W 103RD ST,KANSAS CITY,64114,JACKSON,TRIPLE PLAY,2016,1,2
HY-VEE 1650,110 CHESTNUT ST,TARKIO,64491,ATCHISON,TRIPLE PLAY,2016,1,18
HY-VEE 1406,1217 S MAIN ST,MARYVILLE,64468,NODAWAY,TRIPLE PLAY,2016,1,38
HY-VEE 1077,1210 WASHINGTON ST,CHILLICOTHE,64601,LIVINGSTON,TRIPLE PLAY,2016,1,40
HY-VEE 1036,1104 S 25TH ST,BETHANY,64424,HARRISON,TRIPLE PLAY,2016,1,2
HY-VEE 1667,1617 E 9TH ST,TRENTON,64683,GRUNDY,TRIPLE PLAY,2016,1,56
LANGSTON GROC SERV STA,791 STATE HWY 108,ARBYRD,63821,DUNKLIN,TRIPLE PLAY,2016,1,22
RADEACKAR MKT,6771 MALL DR,CEDAR HILL,63016,JEFFERSON,TRIPLE PLAY,2016,1,104
RADEACKAR MKT,6771 MALL DR,CEDAR HILL,63016,JEFFERSON,TRIPLE PLAY,2016,2,0
GERBES 116,410 E NORTH ST,ELDON,65026,MILLER,TRIPLE PLAY,2016,1,0
GERBES 116,410 E NORTH ST,ELDON,65026,MILLER,TRIPLE PLAY,2016,2,0
GERBES 119,1159 E US HWY 54,CAMDENTON,65020,CAMDEN,TRIPLE PLAY,2016,1,90
GERBES 122,2805 W TRUMAN BLVD,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,1,208
GERBES 122,2805 W TRUMAN BLVD,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,2,0
GERBES 124,1729 W BROADWAY,COLUMBIA,65203,BOONE,TRIPLE PLAY,2016,1,98
GERBES 125,2900 N PARIS RD,COLUMBIA,65202,BOONE,TRIPLE PLAY,2016,1,44
GERBES 125,2900 N PARIS RD,COLUMBIA,65202,BOONE,TRIPLE PLAY,2016,2,0
HAYMAKERS 785,8455 HWY 24,TAYLOR,63471,MARION,TRIPLE PLAY,2016,1,44
COUNTY MARKET 409,1805 ELM ST,CANTON,63435,LEWIS,TRIPLE PLAY,2016,1,2
THRIFTWAY SUPERMARKET,318 W MAIN ST,LINN,65051,OSAGE,TRIPLE PLAY,2016,1,20
RAPID ROBERT'S 107,914 CENTRAL AVE,MONETT,65708,BARRY,TRIPLE PLAY,2016,1,106
BINGS THRIFTWAY,1400 S LIMIT AVE STE 3,SEDALIA,65301,PETTIS,TRIPLE PLAY,2016,1,22
BINGS THRIFTWAY,1400 S LIMIT AVE STE 3,SEDALIA,65301,PETTIS,TRIPLE PLAY,2016,2,0
BINGS THRIFTWAY,1400 S LIMIT AVE STE 3,SEDALIA,65301,PETTIS,TRIPLE PLAY,2016,3,0
CHARLIE'S QUIK CHEK,302 JACKSON,GLASGOW,65254,HOWARD,TRIPLE PLAY,2016,1,10
CHARLIE'S QUIK CHEK,302 JACKSON,GLASGOW,65254,HOWARD,TRIPLE PLAY,2016,2,0
NEWMAN'S COUNTRY MART,1000 E MAIN ST,WARSAW,65355,BENTON,TRIPLE PLAY,2016,1,54
CASH SAVER,1709 E BROADWAY BLVD,SEDALIA,65301,PETTIS,TRIPLE PLAY,2016,1,18
PRICE CHOPPER 14,300 SW BLUE PARKWAY,LEES SUMMIT,64063,JACKSON,TRIPLE PLAY,2016,1,50
PRICE CHOPPER 14,300 SW BLUE PARKWAY,LEES SUMMIT,64063,JACKSON,TRIPLE PLAY,2016,2,0
PRICE CHOPPER 11,4820 N OAK TRFWY,KANSAS CITY,64118,CLAY,TRIPLE PLAY,2016,1,188
PRICE CHOPPER 11,4820 N OAK TRFWY,KANSAS CITY,64118,CLAY,TRIPLE PLAY,2016,2,0
PRICE CHOPPER 16,12220 S 71 HWY,GRANDVIEW,64030,JACKSON,TRIPLE PLAY,2016,1,146
PRICE CHOPPER 16,12220 S 71 HWY,GRANDVIEW,64030,JACKSON,TRIPLE PLAY,2016,2,0
FAULKNER'S GROC & PKG,108 SE FRISCO ST,ARBYRD,63821,DUNKLIN,TRIPLE PLAY,2016,1,2
VANCIL FOODS,110 SNIDER PL,CAMPBELL,63933,DUNKLIN,TRIPLE PLAY,2016,1,2
C & R SUPERMARKET 2476,263 N JOHNSON ST,KAHOKA,63445,CLARK,TRIPLE PLAY,2016,1,20
C & R SUPERMARKET 2474,703 E BRIGGS DR,MACON,63552,MACON,TRIPLE PLAY,2016,1,4
COUNTRY MART,508 EAST 5TH ST,DIXON,65459,PULASKI,TRIPLE PLAY,2016,1,14
TOWN & COUNTRY SUPERMKT,W 150 PINE ST,BOURBON,65441,CRAWFORD,TRIPLE PLAY,2016,1,20
COUNTRY MART,43  E HWY 8,STEELVILLE,65565,CRAWFORD,TRIPLE PLAY,2016,1,2
COUNTRY MART,319 N JEFFERSON ST,ST JAMES,65559,PHELPS,TRIPLE PLAY,2016,1,172
FASTRIP,104 S MAIN ST,CASSVILLE,65625,BARRY,TRIPLE PLAY,2016,1,70
TOWN & COUNTRY SUPERMKT,719 E MAIN ST,WILLOW SPRINGS,65793,HOWELL,TRIPLE PLAY,2016,1,98
TOWN & COUNTRY SUPERMKT,719 E MAIN ST,WILLOW SPRINGS,65793,HOWELL,TRIPLE PLAY,2016,2,0
TOWN & COUNTRY SUPERMKT,1478 S SAM HOUSTON BLVD,HOUSTON,65483,TEXAS,TRIPLE PLAY,2016,1,166
TOWN & COUNTRY SUPERMKT,1478 S SAM HOUSTON BLVD,HOUSTON,65483,TEXAS,TRIPLE PLAY,2016,2,0
TOWN & COUNTRY SUPERMKT,117 HWY 32,LICKING,65542,TEXAS,TRIPLE PLAY,2016,1,36
TOWN & COUNTRY SUPERMKT,117 HWY 32,LICKING,65542,TEXAS,TRIPLE PLAY,2016,2,0
TOWN & COUNTRY SUPERMKT,S 102 MAIN ST,GAINESVILLE,65655,OZARK,TRIPLE PLAY,2016,1,60
TOWN & COUNTRY SUPERMKT,S 102 MAIN ST,GAINESVILLE,65655,OZARK,TRIPLE PLAY,2016,2,0
